s_merge_id,classroom_id,student_id,friend_1,friend_2,friend_3,support_1,support_2,support_3,el
112540_251,1125401,1125401251,1125401183,1125401129,,1125401134,1125401195,1125401190,yes
112540_146,1125402,1125402146,1125402152,1125402144,1125402168,1125402152,1125402144,1125402168,yes
112540_282,1125402,1125402282,1125402301,,,1125402301,,,yes
112540_180,1125402,1125402180,1125402201,1125402200,1125402255,1125402201,1125402200,1125402255,yes
112540_148,1125401,1125401148,1125401300,1125401156,1125401279,1125401300,1125401156,1125401279,yes
112540_135,1125402,1125402135,1125402124,1125402188,,1125402124,1125402104,,yes
112540_152,1125402,1125402152,1125402276,1125402290,1125402143,1125402276,1125402143,1125402290,yes
112540_117,1125402,1125402117,1125402119,1125402126,1125402249,1125402119,1125402126,1125402249,yes
112540_244,1125401,1125401244,1125401243,1125401256,1125401108,1125401243,1125401256,,yes
112540_701,1125402,1125402701,1125402270,1125402300,1125402142,1125402300,1125402280,1125402270,yes
112540_347,1125403,1125403347,1125403193,1125403339,1125403332,1125403311,1125403317,1125403193,yes
112540_300,1125401,1125401300,1125401279,1125401288,1125401305,1125401305,1125401288,1125401279,yes
112540_707,1125401,1125401707,1125401157,,,1125401270,1125401157,,yes
112540_256,1125401,1125401256,1125401181,1125401187,1125401254,1125401181,1125401187,1125401254,yes
112540_201,1125401,1125401201,1125401180,1125401200,,1125401195,1125401112,1125401108,yes
112540_141,1125401,1125401141,1125401285,1125401300,,1125401300,1125401285,,yes
112540_108,1125402,1125402108,1125402112,1125402109,,1125402112,1125402109,,yes
112540_204,1125401,1125401204,1125401197,1125401205,1125401202,1125401202,1125401205,1125401197,yes
112540_140,1125401,1125401140,1125401153,,,1125401153,,,yes
112540_208,1125402,1125402208,1125402270,1125402291,1125402279,1125402209,1125402270,1125402157,yes
112540_247,1125401,1125401247,1125401107,1125401129,,1125401197,1125401129,,yes
112540_190,1125403,1125403190,1125403253,1125403261,1125403131,1125403253,1125403202,1125403179,yes
112540_254,1125401,1125401254,1125401104,1125401113,1125401265,1125401256,1125401113,1125401181,yes
112540_138,1125401,1125401138,1125401309,1125401281,1125401151,1125401309,1125401151,1125401281,yes
112540_119,1125403,1125403119,1125403117,1125403126,,1125403117,1125403249,1125403126,yes
